locations,nb_users,MemberEvent,GistEvent,PullRequestReviewCommentEvent,ForkEvent,FollowEvent,PublicEvent,PullRequestEvent,ReleaseEvent,IssueCommentEvent,PushEvent,DeleteEvent,DownloadEvent,GollumEvent,WatchEvent,CommitCommentEvent,IssuesEvent,CreateEvent,Lat,Lng
Paris,5027,1526,1120,18553,14369,9091,618,34484,800,79377,257938,7612,11,7087,61632,6176,34590,46877,48.8706958,2.325823200000059
Lyon,706,320,80,1741,1882,985,48,3861,127,9991,38708,1198,20,944,6990,1087,4227,6070,45.7671686,4.833537299999989
Toulouse,497,204,129,408,1196,708,14,2777,108,6577,28472,877,0,783,3958,691,4493,4829,43.6060202,1.4411838999999418
Nantes,430,201,572,900,1049,864,21,2557,51,6267,24224,721,0,908,6339,637,8774,3947,47.2550769,-1.5401421999999911
Lille,361,197,86,741,1050,578,26,1923,18,3233,14178,387,0,445,3164,342,2193,3460,50.6304372,3.0629059000000325
Bordeaux,337,136,30,215,790,478,21,820,6,2726,13237,233,0,433,2972,217,1421,2231,44.830528,-0.5622046999999384
Montpellier,290,116,53,618,692,510,24,1630,58,2866,14511,391,0,568,2221,246,1898,2255,43.6064205,3.8906871000000365
Grenoble,287,78,21,1213,659,291,23,2835,41,3723,19502,780,19,399,1941,553,1775,3577,45.1858179,5.735936199999969
Rennes,249,115,35,113,629,276,4,978,139,2121,15488,329,9,454,1626,316,1119,2087,48.110504,-1.6830159999999523
Marseille,175,140,18,103,590,242,20,676,42,1449,6674,102,0,277,1791,159,1090,1345,43.436667,5.215000000000032
Strasbourg,175,69,36,27,438,386,17,608,32,1099,9253,208,0,109,2290,119,1008,1617,48.591155,7.740832400000045
Nice,130,40,113,136,335,202,10,1357,26,2149,6466,192,0,173,1759,113,1164,1157,43.69367099999999,7.28807699999993
Nancy,92,35,30,34,157,109,5,157,2,347,2404,57,0,70,410,46,168,402,48.6879505,6.1783600999999635
Aix-en-Provence,83,19,11,66,342,218,15,340,28,800,3451,118,0,159,1386,39,584,676,43.5055539,5.367778000000044
Brest,73,39,1,39,119,79,3,159,3,328,2054,83,0,39,391,21,338,572,48.382435,-4.49220600000001
Clermont-Ferrand,72,19,7362,47,208,137,17,359,3,589,4070,112,0,74,627,69,332,745,45.79005309999999,
Biot,70,17,13,160,106,52,3,159,11,500,3580,40,0,43,384,56,141,593,43.6477576,2.5171202999999878
Tours,50,9,7,1,99,66,1,49,0,148,1454,10,0,35,312,5,118,256,47.3646921,0.6847464999999602
Caen,44,11,21,91,114,53,1,117,3,288,1001,29,0,21,350,198,160,175,49.1973431,-0.38397950000000947
Rouen,44,22,7,40,82,79,0,158,0,305,2883,16,0,21,392,94,68,342,49.4377434,1.088019700000018
Orleans,44,24,14,737,140,83,6,286,3,715,2314,86,0,134,561,87,164,388,47.9010596,1.9096466999999393
Metz,41,10,0,5,77,13,0,152,0,713,3191,54,0,12,344,94,363,1903,49.1202912,6.17644329999996
Angers,40,6,5,2,55,58,0,71,2,194,1471,14,0,18,437,7,131,272,47.4872677,-0.5504290000000083
Eu,39,0,4,4,121,129,5,241,0,461,1411,27,0,30,792,60,200,244,50.0684292,1.4276164000000335
Antibes,38,6,17,58,84,32,0,155,25,349,1138,73,0,64,417,9,253,354,43.593191,7.1127308000000085
CompièËgne,35,21,6,208,92,40,7,358,1,543,1923,55,0,62,257,38,214,326,49.427288,2.906408000000056
La Rochelle,33,3,0,71,87,22,0,298,6,335,2400,42,0,55,286,31,202,187,46.17782700000001,-1.1944599999999355
Dijon,32,8,0,56,68,51,0,96,1,550,1216,19,0,86,185,83,209,138,47.3153319,5.037619800000016
Poitiers,31,12,8,9,121,43,2,69,0,170,1036,23,0,22,544,15,82,212,46.582783,0.34861399999999776
Saint-Étienne,30,14,8,10,79,34,5,169,0,220,1193,59,0,67,228,34,132,315,45.4410856,4.391927600000031
